timestamp,indicated_airspeed_m_s,true_airspeed_m_s,true_airspeed_unfiltered_m_s,air_temperature_celsius,confidence
4283185,3.69328,3.76025,0.0,23.3966,1.0
4295089,3.74549,3.81385,3.60006,23.4686,1.0
4307089,3.78839,3.85764,4.97047,23.4915,1.0
4317926,3.83265,3.90262,5.75233,23.4729,1.0
4328790,3.88104,3.95199,4.8981,23.4858,1.0
4339089,3.92964,4.00156,3.90681,23.4872,1.0
4351089,3.97361,4.04619,3.79156,23.48,1.0
4361764,4.01311,4.08654,4.8806,23.4843,1.0
4372820,4.05122,4.12531,4.80683,23.4786,1.0
4383884,4.08786,4.16258,3.86245,23.4843,1.0
4395089,4.12156,4.1969,4.78888,23.4772,1.0
4405754,4.15265,4.22863,4.04157,23.4958,1.0
4416807,4.18162,4.25805,4.88051,23.4843,1.0
4427889,4.20994,4.28694,4.93447,23.4886,1.0
4438820,4.23875,4.31626,4.89813,23.4858,1.0
4449918,4.26779,4.34586,4.88058,23.4843,1.0
4460790,4.29825,4.37683,5.81307,23.4786,1.0
4470819,4.33108,4.41025,4.7695,23.4758,1.0
4482818,4.36557,4.44535,5.76735,23.4743,1.0
4493756,4.39984,4.48024,3.67288,23.4729,1.0
4504795,4.43103,4.5121,4.91705,23.4872,1.0
4514751,4.45801,4.53939,3.69793,23.4743,1.0
4525756,4.48104,4.5631,4.84396,23.4815,1.0
4535971,4.50346,4.58581,5.93469,23.4901,1.0
4546847,4.52821,4.61091,4.78881,23.4772,1.0
4557918,4.55495,4.63829,6.02323,23.4986,1.0
4568813,4.58232,4.66614,3.86251,23.4843,1.0
4578820,4.60589,4.69014,3.83845,23.4829,1.0
4589918,4.62407,4.70858,4.78886,23.4772,1.0
4600008,4.63966,4.72437,4.80669,23.4786,1.0
4610819,4.65416,4.73919,4.89805,23.4858,1.0
4621764,4.66799,4.75339,4.97054,23.4915,1.0
4631888,4.68133,4.76692,4.88053,23.4843,1.0
4641918,4.69405,4.77976,4.898,23.4858,1.0
4652820,4.70889,4.79505,6.6693,23.4929,1.0
4662818,4.73112,4.81765,6.62947,23.4886,1.0
4673919,4.76238,4.84946,6.60245,23.4858,1.0
4684681,4.80003,4.8878,5.88881,23.4858,1.0
4694819,4.84059,4.92909,5.87418,23.4843,1.0
4705753,4.88347,4.97283,6.61554,23.4872,1.0
4716852,4.92919,5.01929,5.79825,23.4772,1.0
4727900,4.97595,5.067,5.99351,23.4958,1.0
4737836,5.01862,5.11027,2.22401,23.4758,1.0
4748790,5.05218,5.14459,4.88058,23.4843,1.0
4758820,5.07713,5.16994,3.74599,23.4772,1.0
4770819,5.09433,5.18751,3.86251,23.4843,1.0
4782818,5.10469,5.19805,4.917,23.4872,1.0
4793753,5.1125,5.2059,5.75238,23.4729,1.0
4804790,5.12155,5.21519,5.84371,23.4815,1.0
4816044,5.13171,5.22542,4.84371,23.4815,1.0
4828403,5.14173,5.2358,5.9492,23.4915,1.0
4838819,5.15168,5.2458,4.78883,23.4772,1.0
4850822,5.16345,5.25777,7.1717,23.4772,1.0
4862819,5.17876,5.27333,4.75136,23.4743,1.0
4874819,5.19604,5.29093,6.56111,23.4815,1.0
4886819,5.21534,5.31063,5.82891,23.48,1.0
4898819,5.23769,5.33344,6.52078,23.4772,1.0
4909757,5.26365,5.35984,6.54807,23.48,1.0
4920790,5.29385,5.39067,6.58843,23.4843,1.0
4932844,5.329,5.42663,7.2946,23.4915,1.0
4943894,5.3671,5.46532,4.82611,23.48,1.0
4954819,5.4015,5.50033,4.78895,23.4772,1.0
4966821,5.43029,5.52968,5.96368,23.4929,1.0
4978819,5.4567,5.55641,5.81302,23.4786,1.0
4989822,5.48301,5.5833,6.54817,23.48,1.0
5000795,5.50983,5.61058,5.73637,23.4715,1.0
5012293,5.53583,5.63714,5.85963,23.4829,1.0
5023888,5.55778,5.65939,3.76888,23.4786,1.0
5034825,5.57144,5.67329,3.74599,23.4772,1.0
5046820,5.57634,5.67832,4.84383,23.4815,1.0
5057753,5.57439,5.67617,3.67282,23.4729,1.0
5069241,5.56834,5.67012,6.45247,23.47,1.0
5080033,5.56214,5.66407,5.04203,23.4972,1.0
5094034,5.55726,5.65866,6.46659,23.4715,1.0
5105766,5.55337,5.655,4.82611,23.48,1.0
5117245,5.54801,5.64943,4.86151,23.4829,1.0
5128811,5.54154,5.64282,6.56121,23.4815,1.0
5138829,5.53763,5.63883,5.82893,23.48,1.0
5150819,5.53851,5.63989,7.31802,23.4943,1.0
5162819,5.54351,5.64478,4.69539,23.47,1.0
5174819,5.5485,5.6499,5.82893,23.48,1.0
5186819,5.55249,5.65394,5.7982,23.4772,1.0
5198828,5.55784,5.65925,6.45227,23.47,1.0
5209753,5.56641,5.6682,6.60245,23.4858,1.0
5220791,5.57805,5.67995,5.78219,23.4758,1.0
5231889,5.5882,5.69041,4.01857,23.4943,1.0
5241918,5.59387,5.69611,5.84368,23.4815,1.0
5253226,5.5976,5.69987,5.7982,23.4772,1.0
5264795,5.6035,5.70581,7.1096,23.47,1.0
5276837,5.6108,5.71315,3.57608,23.4672,1.0
5288003,5.61613,5.71879,6.6294,23.4886,1.0
5298828,5.61812,5.72078,2.45038,23.4843,1.0
5310825,5.61509,5.71765,5.76729,23.4743,1.0
5321753,5.61172,5.71434,7.2571,23.4872,1.0
5332802,5.61449,5.71705,6.49325,23.4743,1.0
5344042,5.62363,5.72637,7.14679,23.4743,1.0
5356350,5.6371,5.74003,5.70501,23.4686,1.0
5366819,5.65322,5.75648,7.12173,23.4715,1.0
5378819,5.67043,5.77388,4.75129,23.4743,1.0
5390820,5.68537,5.78918,5.76726,23.4743,1.0
5402818,5.70064,5.80471,7.83607,23.4715,1.0
5414820,5.71825,5.82262,3.62387,23.47,1.0
5426820,5.73119,5.83602,4.78893,23.4772,1.0
5437917,5.73568,5.8405,3.79159,23.48,1.0
5448812,5.73412,5.83902,5.9492,23.4915,1.0
5460839,5.72962,5.83445,4.89817,23.4858,1.0
5471897,5.72112,5.82557,3.67282,23.4729,1.0
5482819,5.70802,5.81254,6.08232,23.5043,1.0
5493937,5.69239,5.79652,3.76892,23.4786,1.0
5504813,5.67428,5.77796,5.81302,23.4786,1.0
5514826,5.65593,5.7593,5.84368,23.4815,1.0
5526820,5.63975,5.74277,5.81299,23.4786,1.0
5537764,5.62554,5.72834,5.78222,23.4758,1.0
5548907,5.61314,5.71583,5.82905,23.48,1.0
5560019,5.60102,5.70327,4.60001,23.4629,1.0
5570819,5.58777,5.68993,5.81307,23.4786,1.0
5582818,5.57614,5.67815,6.58846,23.4843,1.0
5594821,5.56863,5.67042,5.79825,23.4772,1.0
5608789,5.56477,5.66661,6.54824,23.48,1.0
5621231,5.5662,5.66788,7.13381,23.4729,1.0
5632820,5.57331,5.67518,5.81305,23.4786,1.0
5642818,5.58341,5.68542,6.49328,23.4743,1.0
5656205,5.5938,5.69588,4.75131,23.4743,1.0
5667885,5.60316,5.70562,6.54814,23.48,1.0
5678820,5.61305,5.71575,5.88887,23.4858,1.0
5689753,5.62589,5.72872,7.25703,23.4872,1.0
5701529,5.64315,5.74634,6.41139,23.4658,1.0
5713207,5.66274,5.76619,5.75238,23.4729,1.0
5725520,5.6844,5.78824,7.84712,23.4729,1.0
5737143,5.71115,5.81554,6.50757,23.4758,1.0
5749756,5.74128,5.8462,6.60238,23.4858,1.0
5759775,5.77237,5.87803,6.62957,23.4886,1.0
5770819,5.80315,5.90923,5.76738,23.4743,1.0
5782508,5.83196,5.93842,6.38329,23.4629,1.0
5793921,5.85734,5.9644,4.7695,23.4758,1.0
5806160,5.87638,5.98375,4.76947,23.4758,1.0
5817921,5.88667,5.99422,3.69799,23.4743,1.0
5829577,5.88721,5.99494,3.86252,23.4843,1.0
5841169,5.87823,5.98564,3.81592,23.4815,1.0
5851757,5.8638,5.97086,6.47995,23.4729,1.0
5862819,5.84949,5.95623,5.68986,23.4672,1.0
5873752,5.83502,5.94159,4.57988,23.4615,1.0
5885757,5.81815,5.92439,5.70501,23.4686,1.0
5895884,5.80154,5.90742,6.46662,23.4715,1.0
5906819,5.78764,5.89326,5.73617,23.4715,1.0
5918453,5.7775,5.88305,7.24512,23.4858,1.0
5929918,5.77401,5.87963,7.10985,23.47,1.0
5942050,5.77824,5.8838,7.08451,23.4672,1.0
5953752,5.78918,5.89501,7.14686,23.4743,1.0
5966050,5.80438,5.91066,5.88896,23.4858,1.0
5977756,5.81955,5.92583,5.75235,23.4729,1.0
5990048,5.83048,5.93722,3.95226,23.4901,1.0
6001924,5.83638,5.94303,6.45244,23.47,1.0
