F,V
3.29,3.171655805
3.3,3.181296096
3.28,3.162015514
3.3,3.181296096
3.31,3.190936387
3.29,3.171655805
3.32,3.200576678
3.33,3.21021697
3.31,3.190936387
3.33,3.21021697
3.34,3.219857261
3.31,3.190936387
3.34,3.219857261
3.36,3.239137843
3.33,3.21021697
3.35,3.229497552
3.36,3.239137843
3.33,3.21021697
3.37,3.248778134
3.37,3.248778134
3.34,3.219857261
3.37,3.248778134
3.38,3.258418426
3.35,3.229497552
3.37,3.248778134
3.38,3.258418426
93.9,90.52233437
3.48,3.354821338
3.38,3.258418426
3.39,3.268058717
3.37,3.248778134
3.38,3.258418426
3.38,3.258418426
3.35,3.229497552
3.38,3.258418426
3.39,3.268058717
3.36,3.239137843
3.39,3.268058717
3.39,3.268058717
3.36,3.239137843
3.38,3.258418426
3.38,3.258418426
3.35,3.229497552
3.38,3.258418426
3.38,3.258418426
3.36,3.239137843
3.38,3.258418426
3.38,3.258418426
3.36,3.239137843
3.38,3.258418426
3.38,3.258418426
3.37,3.248778134
3.39,3.268058717
3.39,3.268058717
3.36,3.239137843
3.38,3.258418426
3.39,3.268058717
3.36,3.239137843
3.38,3.258418426
3.39,3.268058717
3.36,3.239137843
3.37,3.248778134
3.37,3.248778134
3.35,3.229497552
3.37,3.248778134
3.38,3.258418426
3.35,3.229497552
3.37,3.248778134
3.38,3.258418426
3.35,3.229497552
3.37,3.248778134
3.37,3.248778134
3.35,3.229497552
3.37,3.248778134
3.38,3.258418426
3.35,3.229497552
3.37,3.248778134
3.37,3.248778134
3.34,3.219857261
3.36,3.239137843
3.37,3.248778134
3.35,3.229497552
3.37,3.248778134
3.37,3.248778134
3.35,3.229497552
3.37,3.248778134
3.37,3.248778134
3.46,3.335540755
3.36,3.239137843
3.36,3.239137843
3.34,3.219857261
3.36,3.239137843
3.36,3.239137843
3.33,3.21021697
3.37,3.248778134
3.38,3.258418426
3.35,3.229497552
3.38,3.258418426
3.38,3.258418426
3.35,3.229497552
3.37,3.248778134
3.38,3.258418426
3.35,3.229497552
3.37,3.248778134
3.38,3.258418426
3.35,3.229497552
3.38,3.258418426
3.38,3.258418426
3.35,3.229497552
3.37,3.248778134
3.38,3.258418426
3.35,3.229497552
3.37,3.248778134
3.37,3.248778134
3.35,3.229497552
3.37,3.248778134
3.37,3.248778134
3.34,3.219857261
3.36,3.239137843
3.37,3.248778134
3.34,3.219857261
3.36,3.239137843
3.37,3.248778134
3.34,3.219857261
3.36,3.239137843
3.36,3.239137843
3.34,3.219857261
3.36,3.239137843
3.37,3.248778134
3.35,3.229497552
3.37,3.248778134
3.37,3.248778134
3.34,3.219857261
3.37,3.248778134
3.37,3.248778134
3.34,3.219857261
3.36,3.239137843
3.36,3.239137843
3.33,3.21021697
3.35,3.229497552
3.35,3.229497552
3.33,3.21021697
3.35,3.229497552
3.35,3.229497552
3.31,3.190936387
3.32,3.200576678
3.32,3.200576678
3.3,3.181296096
3.32,3.200576678
3.31,3.190936387
3.29,3.171655805
3.31,3.190936387
3.38,3.258418426
