a,v
1.78,1.72E+00
1.88,1.81E+00
1.81,1.74E+00
1.77,1.71E+00
1.81,1.74E+00
1.82,1.75E+00
,0.00E+00
1.79,1.73E+00
1.83,1.76E+00
1.83,1.76E+00
1.8,1.74E+00
,0.00E+00
1.9,1.83E+00
1.84,1.77E+00
1.8,1.74E+00
1.83,1.76E+00
1.83,1.76E+00
1.79,1.73E+00
1.83,1.76E+00
1.84,1.77E+00
1.8,1.74E+00
1.83,1.76E+00
1.84,1.77E+00
1.8,1.74E+00
1.84,1.77E+00
1.85,1.78E+00
1.81,1.74E+00
1.84,1.77E+00
1.85,1.78E+00
,0.00E+00
1.88,1.81E+00
1.83,1.76E+00
1.83,1.76E+00
1.79,1.73E+00
1.83,1.76E+00
1.83,1.76E+00
1.77,1.71E+00
1.79,1.73E+00
1.79,1.73E+00
,0.00E+00
1.81,1.74E+00
1.77,1.71E+00
1.76,1.70E+00
,0.00E+00
1.79,1.73E+00
1.75,1.69E+00
,0.00E+00
1.83,1.76E+00
1.72,1.66E+00
,0.00E+00
1.82,1.75E+00
1.76,1.70E+00
1.71,1.65E+00
1.74,1.68E+00
1.75,1.69E+00
1.71,1.65E+00
1.75,1.69E+00
